PassiveSkillGraphId,Name,Datafile Parsing Index
6,Twin Terrors,0
529,Poisonous Fangs,1
544,Surveillance,2
570,Dazzling Strikes,3
861,Aggressive Bastion,4
1006,Potency of Will,5
1325,Golem's Blood,6
1340,Rampart,7
1382,Spirit Void,8
1405,From the Shadows,9
1568,Fatal Blade,10
2225,Eagle Eye,11
2275,Nature's Concoction,12
2550,Arsonist,13
2599,Prepared Response,14
2715,Quickstep,15
2959,Season of Ice,16
3309,Fleetfoot,17
3452,Foresight,18
4177,Spiritual Aid,19
4207,Window of Opportunity,20
4481,Forces of Nature,21
4833,Vigour,22
4854,Asylum,23
4918,Indiscriminate Revenge,24
4940,Cleaving,25
5126,Spinecruncher,26
5289,Battle Rouse,27
5430,Magmatic Strikes,28
5456,Might,29
5823,Coordination,30
6233,Blast Waves,31
6237,Precision,32
6289,Bloodless,33
6615,Arcing Blows,34
6770,Arcane Guarding,35
6783,Savage Skewering,36
6799,Charisma,37
6967,Safeguard,38
7069,Split Shot,39
7085,Weapon Artistry,40
7136,Master Sapper,41
7263,Swift Venoms,42
7440,Harvester of Foes,43
7555,Crackling Speed,44
7688,Enduring Bond,45
7918,Enigmatic Defence,46
8001,Clever Thief,47
8135,Practical Application,48
8458,Longshot,49
8833,Heart of Ice,50
8920,Backstabbing,51
9015,Dire Torment,52
9055,Volatile Mines,53
9194,Merciless Skewering,54
9261,Disciple of the Forbidden,55
9432,Mental Rapidity,56
9535,Hunter's Gambit,57
9567,Light Eater,58
9788,Nimbleness,59
9864,Growth and Decay,60
10016,Executioner,61
10115,Prodigal Perfection,62
10153,Physique,63
10511,Tolerance,64
10542,Spiked Bulwark,65
10835,Dreamer,66
11420,Arcanist's Dominion,67
11645,Breath of Lightning,68
11730,Endurance,69
11784,Vampirism,70
11820,Anointed Flesh,71
11924,Breath of Flames,72
12033,Wicked Blade,73
12143,Influence,74
12702,Path of the Warrior,75
12795,Versatility,76
12809,Berserking,77
12878,Retaliation,78
13164,Divine Judgement,79
13375,Multishot,80
13703,Defiant Stand,81
13922,Steadfast,82
13935,Thrill of Battle,83
14001,Unfaltering,84
14606,Butchery,85
14665,Divine Wrath,86
14813,Revelry,87
15027,Beef,88
15046,Redemption,89
15085,Ambidexterity,90
15226,Cruel Retort,91
15290,Watchtowers,92
15344,Freedom of Movement,93
15400,Skittering Runes,94
15437,Deflection,95
15614,Claws of the Hawk,96
15711,Blast Radius,97
15842,One With Nature,98
15852,Ethereal Feast,99
16236,Toxic Strikes,100
16243,Fusillade,101
16703,Skull Cracking,102
17171,Flash Freeze,103
17608,Silent Steps,104
18025,Hard Knocks,105
18174,Mystic Bulwark,106
18357,Feline Swiftness,107
18703,Graceful Assault,108
18707,Perfectionist,109
18769,Written in Blood,110
18865,Melding,111
19069,Thick Skin,112
19103,Righteous Army,113
19144,Sentinel,114
19506,Path of the Hunter,115
19730,Assured Strike,116
19794,Concussive Force,117
19858,Herbalism,118
19897,Death Attunement,119
20261,Contemplative Meditation,120
20528,Instability,121
20832,Sanctuary,122
20835,Brinkmanship,123
21228,Piercing Shots,124
21297,High Explosives,125
21330,Quick Recovery,126
21389,Runesmith,127
21413,Combat Stamina,128
21435,Cloth and Chain,129
21460,Breath of Rime,130
21602,Destructive Apparatus,131
21634,Arcane Chemistry,132
21958,Cruel Preparation,133
21973,Decay Ward,134
22133,Invigorating Blaze,135
22356,Hematophagy,136
22535,Whispers of Doom,137
22702,Serpent Stance,138
22706,Savage Intensity,139
22972,Wandslinger,140
23038,Slaughter,141
23066,Savagery,142
23690,Essence Infusion,143
24050,Coldhearted Calculation,144
24067,Instinct,145
24133,Survivalist,146
24256,Dynamo,147
24324,Explosive Impact,148
24362,Deep Thoughts,149
24383,Warrior's Blood,150
24716,Battle Trance,151
24721,Ribcage Crusher,152
24858,Harpooner,153
25058,Blood Siphon,154
25178,Primal Spirit,155
25367,Blade Master,156
25409,Indomitable Army,157
25411,Infused,158
25439,Undertaker,159
25456,Dervish,160
25738,Relentless Pursuit,161
25970,Acrimony,162
25989,Nomadic Teachings,163
26023,Savage Wounds,164
26096,Hatchet Master,165
26294,Bloodletting,166
26557,Static Blows,167
26564,Vanquisher,168
26620,Corruption,169
26763,Perfected Formula,170
26866,Sanctity,171
26960,Forethought,172
27119,Tribal Fury,173
27137,Sanctum of Thought,174
27163,Arcane Will,175
27190,Overprepared,176
27203,Heart and Soul,177
27301,Martial Experience,178
27308,Gravepact,179
27422,Spirit of War,180
27611,Lord of the Dead,181
27623,Harsh Lessons,182
27788,Blood Drinker,183
27806,As The Thunder,184
27929,Deep Wisdom,185
28034,Empowered Bond,186
28449,Surge of Vigour,187
28503,Life Raker,188
28754,Assassination,189
28878,Relentless,190
29049,Holy Fire,191
29381,Ravenous Horde,192
29522,Dance of Blades,193
29861,Explosive Runes,194
30160,Fending,195
30225,Lightning Walker,196
30302,Hearty,197
30439,Lava Lash,198
30471,True Strike,199
30693,Divine Fervour,200
30974,Expert Hunter,201
31033,Robust,202
31257,Natural Authority,203
31359,Fatal Toxins,204
31473,Master of Wounds,205
31508,Aspect of the Lynx,206
31513,Adjacent Animosity,207
31585,Careful Conservationist,208
32059,Titanic Impacts,209
32176,Soul Thief,210
32227,Adder's Touch,211
32245,Expertise,212
32345,Alacrity,213
32455,Storm Weaver,214
32681,Mark the Prey,215
32738,Wall of Steel,216
32932,Sovereignty,217
33082,Razor's Edge,218
33287,Juggernaut,219
33435,Holy Dominion,220
33545,Harrier,221
33582,Forceful Skewering,222
33718,Champion of the Cause,223
33725,Swagger,224
33777,Devastating Devices,225
33903,Will of Blades,226
34009,Master of the Arena,227
34173,Overcharge,228
34284,Seasoned Swordplay,229
34506,Golem Commander,230
34591,Malicious Intent,231
34601,Proficiency,232
34661,Fire Walker,233
34666,Destroyer,234
34973,Measured Fury,235
34978,Colloidal Mixture,236
35233,Discord Artisan,237
35436,Kinetic Impacts,238
35663,Strong Arm,239
35685,Fearsome Force,240
35894,Trickery,241
35958,Faith and Steel,242
36281,Primeval Force,243
36490,Flaying,244
36687,Avatar of the Hunt,245
36736,Burning Brutality,246
36859,Steelwood Stance,247
36874,Wisdom of the Glade,248
36915,Sacrifice,249
36949,Devotion,250
37078,Path of the Savant,251
37326,Stamina,252
37403,Infused Flesh,253
37425,Practised Reapplication,254
37504,Intuition,255
37647,Dismembering,256
38246,Presage,257
38516,Righteous Decree,258
38849,Searing Heat,259
38922,Goliath,260
39530,Vitality Void,261
39657,Pain Forger,262
39743,Dark Arts,263
39761,Counterweight,264
39904,Brutal Skewering,265
39986,Defiled Forces,266
40619,Awe and Terror,267
40645,Bone Breaker,268
40743,Crystal Skin,269
41119,Lethality,270
41137,Field Medicine,271
41305,Crushing Reply,272
41420,Natural Remedies,273
41472,Discipline and Training,274
41476,Elder Power,275
41595,Marked for Death,276
41870,Winter's Embrace,277
41989,Resourcefulness,278
42009,Soul of Steel,279
42041,Profane Chemistry,280
42443,Frenetic,281
42649,Snowforged,282
42686,Elemental Focus,283
42720,Heavy Draw,284
42795,Arcane Focus,285
42804,Mind Drinker,286
